anime_id,title,title_english,image_url,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,licensor,studio,genre,duration_min,aired_from_year,numberofviews
33763,Yong Zhe Da Mao Xian 2nd Season,,https://myanimelist.cdn-dena.com/images/anime/6/81278.jpg,Original,26,Finished Airing,f,"Mar 25, 2016 to Oct 14, 2016","{'from': '2016-03-25', 'to': '2016-10-14'}",15 min. per ep.,PG-13 - Teens 13 or older,6.45,11,12769,11936,151,1,,,Tencent Animation,,CG Year,"Adventure, Fantasy",15,2016.0,2
1412,Lupin III,Lupin III,https://myanimelist.cdn-dena.com/images/anime/10/15625.jpg,Manga,23,Finished Airing,f,"Oct 24, 1971 to Mar 26, 1972","{'from': '1971-10-24', 'to': '1972-03-26'}",25 min. per ep.,PG-13 - Teens 13 or older,7.73,15329,1043,1595,47174,552,Fall 1971,Sundays at Unknown,"TMS Entertainment, Group TAC",Discotek Media,Tokyo Movie Shinsha,"Action, Adventure, Comedy, Seinen",25,1971.0,1174
2867,Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,,https://myanimelist.cdn-dena.com/images/anime/6/53461.jpg,Visual novel,2,Finished Airing,f,"Dec 22, 2006 to Mar 23, 2007","{'from': '2006-12-22', 'to': '2007-03-23'}",30 min. per ep.,Rx - Hentai,7.13,4053,,3688,9946,66,,,Pink Pineapple,,T-Rex,Hentai,30,2006.0,457
36108,Takunomi.,Takunomi,https://myanimelist.cdn-dena.com/images/anime/10/90091.jpg,Manga,12,Finished Airing,f,"Jan 12, 2018 to Mar 30, 2018","{'from': '2018-01-12', 'to': '2018-03-30'}",12 min. per ep.,PG-13 - Teens 13 or older,6.39,6112,6052,2405,24280,22,Winter 2018,Fridays at 02:43 (JST),"Pony Canyon, TBS, Magic Capsule, Shogakukan, Lawson, RAY, U-NEXT, Nichion",Sentai Filmworks,Production IMS,"Comedy, Slice of Life",12,2018.0,325
10801,Copihan,,https://myanimelist.cdn-dena.com/images/anime/10/75584.jpg,Manga,7,Finished Airing,f,"Aug 12, 2011 to Nov 3, 2011","{'from': '2011-08-12', 'to': '2011-11-03'}",6 min. per ep.,PG-13 - Teens 13 or older,5.53,2916,8316,4322,6714,4,,,"Studio Mausu, Slowcurve",,Gonzo,"Comedy, School, Sci-Fi",6,2011.0,358
2983,Digital Devil Story: Megami Tensei,,https://myanimelist.cdn-dena.com/images/anime/2/52499.jpg,Light novel,1,Finished Airing,f,"Mar 25, 1987","{'from': '1987-03-25', 'to': '1987-03-25'}",45 min.,R - 17+ (violence & profanity),5.33,1877,8632,5497,3699,5,,,"Movic, Tokuma Shoten, Tokuma Japan",,Animate Film,"Adventure, Mystery, Horror, Demons, Psychological, Supernatural, Drama, Fantasy, School",45,1987.0,154
1879,Midnight Eye: Gokuu,Goku: Midnight Eye,https://myanimelist.cdn-dena.com/images/anime/1/1879.jpg,Manga,1,Finished Airing,f,"Jan 27, 1989","{'from': '1989-01-27', 'to': '1989-01-27'}",50 min.,R+ - Mild Nudity,6.52,1644,5520,5343,3946,6,,,Toei Video,"Discotek Media, Urban Vision",Madhouse,"Action, Sci-Fi, Mystery, Seinen",50,1989.0,134
7578,Gokinjo Monogatari the Movie,Neighborhood Story The Movie,https://myanimelist.cdn-dena.com/images/anime/11/21012.jpg,Original,1,Finished Airing,f,"Mar 2, 1996","{'from': '1996-03-02', 'to': '1996-03-02'}",30 min.,G - All Ages,6.55,462,5405,7302,1619,2,,,,,Toei Animation,"Comedy, Drama, Romance",30,1996.0,56
287,Grappler Baki (TV),,https://myanimelist.cdn-dena.com/images/anime/3/7604.jpg,Manga,24,Finished Airing,f,"Jan 9, 2001 to Jun 26, 2001","{'from': '2001-01-09', 'to': '2001-06-26'}",25 min. per ep.,PG-13 - Teens 13 or older,7.42,15617,1932,2053,31581,250,Winter 2001,Unknown,Free-Will,Funimation,Group TAC,"Action, Sports, Martial Arts, Shounen",25,2001.0,1010
20187,Genei wo Kakeru Taiyou: Fumikomenai Kokoro,,https://myanimelist.cdn-dena.com/images/anime/5/53747.jpg,Original,1,Finished Airing,f,"Nov 16, 2013","{'from': '2013-11-16', 'to': '2013-11-16'}",24 min.,R - 17+ (violence & profanity),6.34,2433,6218,4768,5323,3,,,Aniplex,,AIC,Magic,24,2013.0,289
